Product name,Select a category,Product price (INR),Product discounted price (INR),Product description,Product landing page URL,Image Link,Mark as Special
"Black CTC Tea (All Grades)","CTC","₹130.00 – ₹320.00",,"This collection of primary Black CTC tea grades serves as a foundational component for large-batch wholesalers and packet tea brand owners across India. Sourced directly from major gardens in both the Assam and Dooars regions, these raw tea granules are selected for their high density and moisture stability. The liquor profile is characterized by a robust and strong body with a brisk infusion that holds its character even when blended. It is an ideal stock for institutional procurement, offering specific grades such as Broken Pekoe, Orange Fannings, and Primary Dust to meet diverse market demands. By sourcing this garden-fresh stock directly from the foothills, buyers benefit from significant competitive margins and the elimination of secondary trading commissions. This product ensures a reliable supply chain for businesses requiring high-volume raw material for retail packaging. Supplied by a wholesale tea supplier based in Siliguri, serving Bihar, Uttar Pradesh, and West Bengal.","https://teatraders.info/product/black-ctc-tea/","https://teatraders.info/images/products/organic_ctc_tea_user.jpg",Yes
"Rajni Gold","Blend","₹1200 / piece",,"Rajni Gold is a proprietary premium CTC tea blend specifically engineered for the retail market and family-mixture packeteers. This consistent, year-round blend uses a precise 60:40 ratio of malty Assam Broken Pekoe and color-rich Dooars Orange Fannings to deliver a strong, kadak profile. The resulting liquor is bright and thick, maintaining a smooth flavor even after the addition of milk. It is primarily utilized by independent grocers and established tea brands that require a fixed taste profile to ensure customer loyalty. The commercial value of Rajni Gold lies in its blend consistency and excellent yield, allowing retailers to compete with national brands while maintaining superior profit margins. This high-grade blend is now available in bulk packaging and durable jars for ease of transport and storage. Supplied by a wholesale tea supplier based in Siliguri, serving Bihar, Uttar Pradesh, and West Bengal.","https://teatraders.info/product/rajni-gold/","https://teatraders.info/images/products/rajni_gold.png",No
"Begam Gold","Blend","₹1200 / piece",,"Begam Gold is a heavy-liquoring CTC tea blend designed specifically for the demanding markets of Bihar and Uttar Pradesh where strength and color are paramount. Sourced from select garden invoices in the Dooars region, this blend produces a deep, dark red infusion that is characteristic of the popular Lal Ghoda style teas. It is highly resistant to flavor loss during rigorous boiling, making it a favorite for traditional milk-based tea preparations. Wholesalers and local distributors find Begam Gold advantageous due to its high cuppage and ability to cut through hard water conditions common in the northern plains. This robust product offers a commercial edge by providing the intense sensory profile that wholesale consumers expect at a price point that supports high-volume distribution. It is a workhorse for traders targeting the semi-urban and rural mass-market segment. Supplied by a wholesale tea supplier based in Siliguri, serving Bihar, Uttar Pradesh, and West Bengal.","https://teatraders.info/product/begam-gold/","https://teatraders.info/images/products/jjj.jpg",No
"Saavan Tea","CTC","Contact for Price",,"Saavan Tea represents a premium selection of garden-fresh CTC tea plucked during the peak monsoon season when the tea bushes are at their most vibrant. This BOP L grade tea is noted for its refreshing sensory profile, featuring a distinct briskness and subtle grassy notes that provide a clean, light palate traditional teas often lack. The large, black, and uniform granules are aesthetically superior, making this an excellent choice for premium loose tea retailers and boutique brands. Sourced from reputable estates in West Bengal, Saavan Tea is vacuum-tested for freshness to ensure its lively character is preserved from the garden to the final user. Its primary utility is for customers who prefer a fresher, more aromatic cup over heavy-liquoring varietals. This product offers retailers a unique selling point based on seasonality and purity, attracting health-conscious and quality-focused consumers. Supplied by a wholesale tea supplier based in Siliguri, serving Bihar, Uttar Pradesh, and West Bengal.","https://teatraders.info/product/saavan-tea/","https://teatraders.info/images/products/savaan_tea.png",No
"Priya Gold","Blend","₹1200 / piece",,"Priya Gold is an economical CTC tea blend engineered for maximum yield and commercial viability in high-volume environments. This robust mixture of medium granules and high-strength dust is specifically formulated for tea stalls, office canteens, and large-scale industrial catering services. The liquor is exceptionally thick and heavy, designed to extract rapidly and provide a higher number of cups per kilogram compared to standard granules. Despite its cost-effective pricing, Priya Gold delivers a strong caffeine kick and deep color that satisfy the requirements of a commercial chai preparation. Sourced from high-yielding gardens in Assam and Dooars, it provides a consistent solution for business owners who must balance cost-per-cup with flavor intensity. This product is a staple for distributors supplying the Horeca segment where high cuppage translates directly into better business margins. Supplied by a wholesale tea supplier based in Siliguri, serving Bihar, Uttar Pradesh, and West Bengal.","https://teatraders.info/product/priya-gold/","https://teatraders.info/images/products/priya_gold.png",No
"Sabnam Gold","Blend","₹1200 / piece",,"Sabnam Gold is a specialized hotel-grade CTC tea blend that strikes a perfect balance between premium sensory quality and commercial requirements. This blend is prominently used by mid-range restaurants and cafes that serve standardized milk tea. It features a high percentage of fine fannings which allows for a rapid color release, significantly reducing the fuel and time consumed in professional kitchens. The liquor is a bright golden-brown with a balanced strength that appeals to a wide demographic of casual tea drinkers. By sourcing this consistent blend, hotel owners can ensure that every cup served across the day maintains the same visual and taste appeal. Sabnam Gold is packaged in bulk jars to provide protection against moisture and environmental factors in busy commercial environments. It is a strategic choice for businesses looking to upgrade their service quality without significantly increasing procurement costs. Supplied by a wholesale tea supplier based in Siliguri, serving Bihar, Uttar Pradesh, and West Bengal.","https://teatraders.info/product/sabnam-gold/","https://teatraders.info/images/products/kk2.jpg",No
"Nepal High Grown","Orthodox","₹350 - ₹600 / kg",,"Nepal High Grown Orthodox tea is a premium whole-leaf product sourced from the high-altitude Himalayan estates of the Ilam region. This SFTGFOP1 grade tea is selected for its highly aromatic and floral profile, offering a light amber liquor with distinct fruity notes. It shares a geographic heritage with Darjeeling teas but provides a unique value proposition for retailers looking to offer high-end leaf tea at competitive wholesale price points. The leaves are carefully twisted and wiry, indicating the gentle orthodox processing that preserves the delicate essential oils of the plant. It is primarily used by tea boutiques, luxury hotels, and export-focused traders who cater to consumers preferring tea without milk. The commercial benefit of Nepal High Grown lies in its exceptional quality-to-price ratio, allowing boutique brands to build a premium image with high margins. Supplied by a wholesale tea supplier based in Siliguri, serving Bihar, Uttar Pradesh, and West Bengal.","https://teatraders.info/product/nepal-high-grown/","https://teatraders.info/images/products/nepal.jpg",No
"Tea Dust (Hotel Special)","Dust","₹120 - ₹180 / kg",,"Tea Dust Hotel Special is a primary dust grade product specifically curated for high-velocity environments such as railway canteens, bus stations, and roadside tea stalls. This Pekoe Dust (PD) grade tea is sourced from selected Dooars gardens to provide the highest possible extraction rate and instant color release. The sensory profile is exceptionally strong, designed to maintain its dominance even when boiled with heavy milk and pungent local spices like ginger or cardamom. Unlike secondary dust, this primary stock is free from fiber and stalks, ensuring a clean and consistent brew every time. It is the preferred choice for commercial tea makers who need to serve hundreds of cups an hour without compromising on the kick that daily commuters expect. The value to a wholesaler lies in the massive demand for this grade across the Indian transit network and its massive volume throughput. Supplied by a wholesale tea supplier based in Siliguri, serving Bihar, Uttar Pradesh, and West Bengal.","https://teatraders.info/product/tea-dust-hotel-special/","https://teatraders.info/images/products/dooars_tea_dust_user.jpg",No
"Darjeeling Orthodox","Orthodox","₹400 - ₹1200 / kg",,"Our Darjeeling Orthodox Second Flush is a GI-tagged premium leaf tea sourced from the most prestigious gardens in the Darjeeling district. This selection is world-renowned for its signature muscatel flavor profile, offering a rounded, fruity aroma and a bright amber cup. As a whole-leaf tea, it is processed using traditional methods that maintain the integrity of the leaf and its complex essential oils. This luxury product is essential for high-end gifting companies, luxury hospitality chains, and export-oriented tea traders who target the global connoisseur market. Each lot is hand-selected based on its seasonal character, ensuring that the muscatel notes are prominent and authentic. Procurement of this authentic stock provides retailers an authoritative product to anchor their premium collection, supported by full garden-mark transparency. It represents the pinnacle of Indian tea craftsmanship. Supplied by a wholesale tea supplier based in Siliguri, serving Bihar, Uttar Pradesh, and West Bengal.","https://teatraders.info/product/darjeeling-orthodox/","https://teatraders.info/images/products/orthodox.jpg",No
"Assam Granules Tea","CTC","₹180 - ₹280 / kg",,"Assam Granules Tea is a bold and malty CTC product sourced directly from the Brahmaputra valley, the heart of the world's strongest tea production. This BP and BOP grade selection is chosen for its heavy-liquoring body and deep reddish-brown color, providing a level of strength that lighter varietals cannot match. It is designed for buyers who require a hearty, full-bodied tea that serves as an excellent base for traditional Indian milk tea. The malty aroma and thick mouthfeel make it highly popular among wholesalers in North and Central India. The commercial advantage of this product is its consistent body and rich visual appeal, ensuring that retail packets look and taste premium. It is an ideal anchor stock for any loose tea retailer or packeteer seeking to deliver the authentic Assam experience at competitive direct-from-source wholesale rates. Supplied by a wholesale tea supplier based in Siliguri, serving Bihar, Uttar Pradesh, and West Bengal.","https://teatraders.info/product/assam-granules-tea/","https://teatraders.info/images/products/assam.png",No
"Private Label Packaging","Packaging","Enquire Now",,"Our Private Label Packaging service provides an end-to-end manufacturing solution for startups and retailers looking to build their own proprietary tea brand. Located in Siliguri, we offer direct access to the freshest tea garden invoices, which we then blend and package according to your specific marketing requirements. Our capabilities include a wide range of packaging formats such as stand-up pouches, custom boxes, jars, and tin packs with low minimum order quantities to support brand testing. We handle the entire procurement, blending, and sealing process, allowing brand owners to focus exclusively on marketing and sales. This service eliminates the need for expensive capital investment in machinery and labor, offering a fast-track route to the Indian retail market. Commercial partners benefit from our deep industry knowledge and access to competitive wholesale rates for high-quality tea stock. Supplied by a wholesale tea supplier based in Siliguri, serving Bihar, Uttar Pradesh, and West Bengal.","https://teatraders.info/product/private-label-packaging/","https://teatraders.info/images/products/private_label.png",No
"Tea Bags (Bulk)","Tea Bags","₹0.80 - ₹2.50 / piece",,"Our bulk selection of Tea Bags provides a convenient and professional solution for hotels, corporate offices, and hospitals requiring individual beverage service. Unlike the standard market options that often use low-grade dust, we fill our bags with high-quality fannings from Assam and Dooars to ensure a deep-brewing, flavorful experience. We offer multiple variants including Green Tea, Assam Black, and Masala Chai, all designed for rapid infusion in individual cups. The filter paper used is food-grade and heat-sealed to preserve the internal aroma and ensure safety. This product is available for private labeling with custom tags featuring your corporate logo or brand identity. The primary B2B value lies in the ease of storage, consistent portion control, and the professional image it provides to institutional users. These wholesale jars and boxes are a reliable choice for high-volume hospitality procurement. Supplied by a wholesale tea supplier based in Siliguri, serving Bihar, Uttar Pradesh, and West Bengal.","https://teatraders.info/product/tea-bags-bulk/","https://teatraders.info/images/products/tea_bags_bulk.png",No
